gs_name,entrez_gene
HALLMARK_ADIPOGENESIS,110391
HALLMARK_ADIPOGENESIS,19376
HALLMARK_ADIPOGENESIS,13476
HALLMARK_ADIPOGENESIS,70335
HALLMARK_ADIPOGENESIS,57264
HALLMARK_ADIPOGENESIS,67442
HALLMARK_ADIPOGENESIS,66878
HALLMARK_ADIPOGENESIS,67809
HALLMARK_ADIPOGENESIS,29864
HALLMARK_ADIPOGENESIS,68750
HALLMARK_ADIPOGENESIS,20168
HALLMARK_ADIPOGENESIS,68653
HALLMARK_ADIPOGENESIS,20778
HALLMARK_ADIPOGENESIS,20280
HALLMARK_ADIPOGENESIS,67680
HALLMARK_ADIPOGENESIS,66052
HALLMARK_ADIPOGENESIS,20509
HALLMARK_ADIPOGENESIS,20514
HALLMARK_ADIPOGENESIS,13358
HALLMARK_ADIPOGENESIS,27376
HALLMARK_ADIPOGENESIS,26457
HALLMARK_ADIPOGENESIS,330064
HALLMARK_ADIPOGENESIS,217430
HALLMARK_ADIPOGENESIS,20618
HALLMARK_ADIPOGENESIS,20655
HALLMARK_ADIPOGENESIS,20411
HALLMARK_ADIPOGENESIS,268301
HALLMARK_ADIPOGENESIS,13602
HALLMARK_ADIPOGENESIS,59010
HALLMARK_ADIPOGENESIS,16651
HALLMARK_ADIPOGENESIS,20850
HALLMARK_ADIPOGENESIS,13830
HALLMARK_ADIPOGENESIS,56451
HALLMARK_ADIPOGENESIS,20887
HALLMARK_ADIPOGENESIS,21351
HALLMARK_ADIPOGENESIS,21353
HALLMARK_ADIPOGENESIS,21881
HALLMARK_ADIPOGENESIS,22057
HALLMARK_ADIPOGENESIS,22117
HALLMARK_ADIPOGENESIS,22190
HALLMARK_ADIPOGENESIS,56085
HALLMARK_ADIPOGENESIS,22245
HALLMARK_ADIPOGENESIS,22228
HALLMARK_ADIPOGENESIS,66152
HALLMARK_ADIPOGENESIS,66594
HALLMARK_ADIPOGENESIS,22273
HALLMARK_ADIPOGENESIS,22272
HALLMARK_ADIPOGENESIS,22340
HALLMARK_ADIPOGENESIS,22628
HALLMARK_ALLOGRAFT_REJECTION,234734
HALLMARK_ALLOGRAFT_REJECTION,24015
